Entry,ID,MAX_OCC,MaxOccNo,LAT,LON
160,031-0053,60,60,48.314924000000000,-102.590219000000000
161,031-0054,1,1,48.338720000000000,-102.228662000000000
162,031-0055,60,60,48.306685000000000,-102.441858000000000
163,031-0056,24,24,48.065090000000000,-102.370181000000000
164,031-0057,UNKNOWN,UNK,48.334487000000000,-101.976306000000000
165,031-0058,8 SU,8,48.326455000000000,-102.301347000000000
166,031-0037,54,8,48.317198000000000,-102.591558000000000
167,031-0038,1,1,48.338734000000000,-102.232573000000000
168,031-0039,12,12,48.370357000000000,-102.362132000000000
169,031-0040,12,12,48.326564000000000,-102.301340000000000
170,031-0041,UNKNOWN,UNK,48.327754000000000,-102.337903000000000
171,031-0042,1,1,48.152923000000000,-102.247342000000000
172,031-0043,2 APART,2,48.342767000000000,-102.238992000000000
173,031-0044,23,23,48.342767000000000,-102.238992000000000
174,031-0045,23,23,48.357167000000000,-102.391623000000000
175,031-0046,9,9,48.456766000000000,-102.593634000000000
176,031-0047,15,15,48.456766000000000,-102.593634000000000
177,029-0011,8,8,47.118528000000000,-101.933471000000000
178,031-0001,16 SU,10,48.317487000000000,-102.591628000000000
179,031-0001,3,3,48.317487000000000,-102.591628000000000
180,031-0002,1,1,48.341588000000000,-102.285109000000000
181,031-0003,5,5,48.487864000000000,-102.525051000000000
182,031-0003,10,10,48.487864000000000,-102.525051000000000
183,031-0004,10 SU,10,48.032975000000000,-102.416244000000000
184,031-0004,4,4,48.032083000000000,-102.415997000000000
185,031-0005,UNKNOWN,UNK,48.065122000000000,-102.350776000000000
186,031-0006,6,6,48.309785000000000,-102.591435000000000
187,031-0006,20,20,48.309785000000000,-102.591435000000000
188,031-0007,2,2,48.338318000000000,-102.230133000000000
189,029-0012,6,6,47.284889000000000,-102.059860000000000
190,029-0013,6,6,47.284889000000000,-102.059860000000000
191,029-0014,57,57,47.299362000000000,-101.611578000000000
192,029-0017,23,23,47.458549000000000,-101.716238000000000
193,029-0018,3,3,47.118528000000000,-101.933471000000000
194,029-0019,7,7,47.263152000000000,-101.785762000000000
195,029-0020,3,3,47.267002000000000,-101.774937000000000
196,029-0020,51,51,47.267002000000000,-101.774937000000000
197,029-0021,37,37,47.298023000000000,-101.626153000000000
198,029-0022,7,7,47.295510000000000,-101.630243000000000
199,029-0023,19,19,47.285602000000000,-101.926542000000000
200,031-0009,26,26,48.321504000000000,-102.546990000000000
201,031-0010,UNKNOWN,UNK,48.321210000000000,-102.074889000000000
202,031-0011,UNKNOWN,UNK,48.320987000000000,-102.312424000000000
203,031-0012,100,100,48.313473000000000,-102.053197000000000
204,031-0013,21,21,48.312518000000000,-102.539704000000000
205,031-0014,2,2,48.153610000000000,-102.354575000000000
206,031-0015,1,1,48.339235000000000,-102.225544000000000
207,031-0016,100,100,48.328322000000000,-102.338867000000000
208,031-0017,UNKNOWN,UNK,48.102788000000000,-102.229738000000000
209,031-0018,UNKNOWN,UNK,48.306117000000000,-102.568251000000000
210,031-0019,10,10,48.431305000000000,-102.390586000000000
211,031-0020,5,5,47.972596000000000,-101.935690000000000
212,031-0021,UNKNOWN,UNK,48.314257000000000,-102.528572000000000
213,031-0022,UNKNOWN,UNK,48.334472000000000,-102.084149000000000
214,031-0023,6 SU,6,48.024157000000000,-102.351466000000000
215,031-0023,18,18,48.024157000000000,-102.351466000000000
216,031-0024,10,10,48.327199000000000,-102.245159000000000
217,031-0025,UNKNOWN,UNK,48.323588000000000,-102.245218000000000
218,031-0026,1,1,48.337979000000000,-102.226426000000000
219,031-0027,260,260,48.320117000000000,-102.666595000000000
220,031-0028,1,1,48.338129000000000,-102.230133000000000
221,031-0029,20,20,48.503840000000000,-102.593651000000000
222,045-0039,6,6,46.883399000000000,-102.312484000000000
223,045-0040,5,5,46.902309000000000,-102.419495000000000
224,045-0041,59,59,46.892465000000000,-102.807490000000000
225,045-0042,10,10,46.878888000000000,-102.770908000000000
226,045-0042,10,10,46.878888000000000,-102.770908000000000
227,045-0043,59,59,46.877650000000000,-102.788702000000000
228,045-0044,8,8,46.904996000000000,-102.415879000000000
229,045-0045,54,54,46.893980000000000,-102.792612000000000
230,045-0046,13,13,46.790471000000000,-102.893856000000000
231,053-0001,5,5,48.118614000000000,-103.726033000000000
232,053-0002,180,180,48.317989000000000,-103.052422000000000
233,053-0003,111,111,48.217157000000000,-103.630142000000000
234,053-0004,116,116,48.216243000000000,-103.628934000000000
235,053-0005,200,200,48.221032000000000,-103.623447000000000
236,053-0006,526,526,48.221087000000000,-103.623453000000000
